nodeID|objective|rationale|scope|slicing|pulse|variants|examples|tenets|standards|hints
FunctionalRequirements|Identify functional constraints on the solution: Policies to be enforced and processes to carry out, independent of any technical considerations.|Requirements complexity can best be managed if functional (= “business”) requirements are handled separately and agreed upon amongst stakeholders.|Any|Any|Moderate|Wording Templates;User Stories;Requirements Models;Process Maps |Vote-Requirements.pdf|Unambiguous: Interpretable in exactly one way;Testable: Compliance or noncompliance can be demonstrated|[IREB Certified Professional for Requirements Engineering](https://www.ireb.org/en/cpre/basics/)|A requirement is functional, if it would still need to be stated in spite of having perfect technology.
NonfunctionalRequirements|Identify technology and quality constraints on the solution that determine how well the solution shall fulfill the functional requirements.|It is the way in which a solution does whatever it does that determines its success or failure.|Medium,Large|Deep|Moderate|Definition of Done;Requirements Models;Quality Standards|perspectives.pdf|All technology constraints are clearly specified;Relevant quality constraints have been identified and clearly specified with expected levels of performance|[ISO/IEC 25010](https://iso25000.com/index.php/en/iso-25000-standards/iso-25010)|Technology Constraints are often defined by the operational environment;A checklist can help to ensure that all relevant qualities of service have been specified
UseCaseModel|Show the scope and context of the solution domain. The scope is modeled as Use Cases, the context as Actors.|The right solution can only be built if the system context  and the ways of using a system are determined. |Any|Deep|Low|Modeling-Tool based;Drawing-Tool based|Vote-UseCaseOverview.pdf|For a solution, all users and external systems are modeled as Actors.;For every Actor, a specific way of using the solution is modeled as a Use Case.|[Unified Modeling Language](https://www.omg.org/spec/UML/About-UML/): Use-Case Model|Complex domains should be divided into subdomains, with their own Use-Case (sub-)Models.
UseCaseNarrative|Describe the functionality and behavior of the solution: Each Use Case is described in a Use-Narrative, usually separated in a basic flow and several alternative flows. |The solution cannot be implemented or tested, if the standard behavior and its variations are not understood.|Medium,Large|Broad|High|Text-based;Model-based, e.g. using UML activity diagrams| |For small teams or simple Use Cases, the Narrative can have the form of a conversation.;For large teams or complex Use Cases, the Narrative needs to be written down and formally agreed upon.|[Ivar Jacobson International: Use-Case 2.0](https://www.ivarjacobson.com/publications/white-papers/use-case-ebook)|Each flow of a Use-Case Narrative is a natural choice for a Use-Case-Slice: A smaller part of functionality that can be implemented and tested in a short time frame.
DataModel|Define major elements of the domain and identify important relationships that exist between those elements.|A thorough understanding of the domain(s) is key to building a useful solution.|Any|Deep|Low|Logical Data Model;Domain Model|Vote-DomainModel.pdf|Model and describe all relevant policies and constraints;Use domain terminology;Strive for simplicity. Don’t try to be overly detailed.|[Unified Modeling Language](https://www.omg.org/spec/UML/About-UML/):Class Model;[ISO/IEC/IEEE 31320-2:2012 (IDEF1X97)](https://www.iso.org/standard/60614.html)|Complex domains should be divided into subdomains, with their own Data (sub-)Models.;A solid logical data model is a good foundation for all implementation related disciplines.
PersonasUsageScenarios|Make users relatable with personas and show real-live workflows with usage scenarios. Clearly show the unique traits and needs of different user groups.|The development team needs to design for real users and their actual needs and abilities instead of for themselves or some vaguely defined imaginary user.|Medium,Large|Deep|Low|User/Customer Journey;Persona fact sheet| |Include a picture and name with the personas to make them relatable.;Don’t leave out emotion: values and needs in personas, emotional reactions in scenario.|[Alan Cooper: The Inmates Are Running the Asylum](https://www.pearson.com/us/higher-education/program/Cooper-Inmates-Are-Running-the-Asylum-The-Why-High-Tech-Products-Drive-Us-Crazy-and-How-to-Restore-the-Sanity-2nd-Edition/PGM275766.html)|It can be helpful to name non-Personas (who is not a target audience?);Usage scenarios are useful for highlighting features with a high value for users (e.g. negative emotions)
UserInterfaceWorkflows|Show the user interface in context of a specific use case (layout and static content, dynamic behavior as well as navigation)|Ensure that the user interface works smoothly within the user’s real-life workflow and that the experience for the user is enjoyable and intuitive.|Any|Broad|Low|UI Prototype;Flow Chart;Storyboard or Comic Strip featuring illustrations of user + screens|Vote-Mockups.pdf|Don’t model every possible workflow. Concentrate on the most-used and critical use cases.;Use realistic data as much as possible.| |It may be necessary to document what happens before and after the workflow that is modeled.
UIStructure|Define the general structure of the user interface: how use cases are distributed to sections of an application, how to navigate from one screen to another.|Ensure that things that belong together are placed together and that users find their way within the user interface.|Medium,Large|Deep|Low|Sitemap diagram;UI prototype showing navigation|Vote-InformationArchitecture.pdf|Define the navigation structure explicitly, instead of just adding screens somewhere they might fit at the time.;Leave room for likely future additions to the structure.|Navigation Patterns:;Hierarchical Tree;Hub and Spoke;Filtered View;Nested Doll|If possible, use a structure that is familiar for the operating system or platform (Hierarchical Tree for big screens, Hub and Spoke for mobile applications)
VisualDesign|Define the Application’s visual style using color, typography and form language.|Ensures consistency across different parts of the application or multiple design teams. |Large|Any|Moderate|Prototype as documentation;Style Guide (static document or wiki page);Design System (web page with description and multiple resources)| |Align the application’s Look and Feel with the customer’s Corporate Identity, if available.;Reduce the amount of different visual styles (e.g. colors) to keep the look and feel clear and consistent.|[Atomic Design](https://atomicdesign.bradfrost.com/) |“Design Systems” provide a central place for all project members to find resources about UI design, from Prototyping Assets to Code Snippets.
DescriptionofUIBehavior|Describe the dynamic behavior of the application’s user interface: UI interactions, screen transistions and animations.|Static mockups are useful, but often not specific enough to implement all details. Behavioral description in one form or another is often needed to fill in the blanks.|Any|Deep|High|Textual description;Tabular description of states (especially for complex interactive forms);Interactive Prototypes (using UI Prototyping Tools)|Vote-Screenflow.pdf|Make UI documentation useful for all project members.;Take special care about designer-developer-handoff.| |Make documentation easily accessible for developers, e.g. part of the prototype or in one central website as “single source of truth”
InformationView|Describe the way the solution stores, manipulates, manages, and distributes information|The ultimate purpose of any IT solution is to manipulate information in some form, and this view shows a complete but high-level picture of static data structure and information flow.|Any|Deep|Moderate|Logical Data Model;Physical Data Model|Vote-Data-Model.pdf;VoteApp-GraphQL-Communication.pdf|Only model entities that are needed by the solution’s functionality;Right level of detail|[Unified Modeling Language](https://www.omg.org/spec/UML/About-UML/);[ISO/IEC/IEEE 31320-2:2012 (IDEF1X97)](https://www.iso.org/standard/60614.html)|If available, the aspect [Data Model](node:DataModel) of artifact Domain Models should be used as the solution’s Logical Data Model.
UIPatternsUIFramework|Define reusable UI patterns and corresponding code components.|Reusable assets (prototyping parts or code snippets) speed up development of new designs.|Medium,Large|Broad|Moderate|Textual documentation (e.g. wiki pages);Design systems with code snippets;Ready-to-use UI component library for developers| |Patterns can have different sizes, from a UI component to whole page templates.;Never introduce new UI patterns without a good reason.|[Material Design](https://material.io/design/introduction);[Atlassian Design Language](https://atlassian.design/);[Apple Human Interface Guidelines](https://developer.apple.com/design/human-interface-guidelines/)|Build the application patterns on top of an established baseline. In most cases that baseline will be the UI framework used for coding the application.;It can be useful to describe when not to use a pattern.
ConcurrencyView|Describes the concurrency structure of the solution and maps functional elements to concurrency units. |To arrive at a performant solution for a complex problem,  clearly identify the parts of the system that can execute concurrently and how this is coordinated and controlled. |Medium,Large|Any|Moderate|Activity Diagram;State Machine Diagram|concurrency-view.pdf|Strive for simplicity;Rule out Race Conditions;Rule out Deadlocks|[Unified Modeling Language](https://www.omg.org/spec/UML/About-UML/);Petri Nets;Actor Model|It is difficult to design, implement and debug concurrent systems.;Introduce concurrency into a solution only when necessary.
Perspectives|A collection of activities, tactics, and guidelines that are used to ensure that a solution exhibits a particular set of related quality properties that require consideration across a number of different views.|The quality properties of the solution need to fulfill the solution’s Nonfunctional Requirements.|Medium,Large|Broad|Moderate|Documents;Models|perspectives.pdf|Architectural tradeoffs are necessary for every solution;Quality properties usually cannot be expresses in a single view|[ATAM – Architecture Tradeoff Analysis Method](https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=5177)|You should focus on the realization of the solution’s most important [Nonfunctional Requirements](node:NonfunctionalRequirements), e.g.: Performance and Scalability, Security, Usability
ContextView|Shows relationships, dependencies, and interactions between the system and its run-time environment (people, systems, external entities).|Architects tend to assume that the “outward-facing” information is clearly and unambiguously defined elsewhere. However, this is often not the case and should be provided by this view.|Medium,Large|Deep|Low| |context-view.pdf|Clearly define system scope;Identify external entities, services and data used;Determine impact of the solution on its environment|Unified Modeling Language|This view is related to and has to be consistent with the [Use Case Model](node:UseCaseModel).
DeploymentView|Required technical environment and mapping of software elements to runtime environment that will execute them.|Most solutions have complex runtime dependencies and/or complex runtime environments which need to be made explicit.|Medium,Large|Deep|Moderate|Deployment Scripts;Infrastructure as Code|deployment-view.pdf|Clear and accurate dependencies;Proven technology;Early consideration of the deployment environment;Automate deployment| | 
